M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Week,Season,Season_Label,Total_Sales
31.17,43.774,20.0,172.9,69.0,4.0,53.0,49.5,2019,3,13,Summer,2,443.344
36.19,25.685,26.5,173.35,62.0,1.0,51.0,57.6,2019,4,14,Summer,2,433.32500000000005
30.33,28.165,14.5,125.5,72.4,4.0,42.0,40.5,2019,4,15,Summer,2,357.395
29.84,24.027,14.55,117.9,80.0,9.0,36.0,33.2,2019,4,16,Summer,2,344.517
57.7,14.514,21.95,181.3,67.0,6.0,62.0,36.4,2019,4,17,Summer,2,446.864
31.36,27.413,28.55,157.6,52.0,7.0,64.0,45.4,2019,5,18,Summer,2,413.323
36.35,19.968,22.2,149.1,79.0,8.0,123.0,24.0,2019,5,19,Summer,2,461.618
40.0,18.023,23.65,160.0,68.0,5.0,61.29166667,23.4,2019,5,20,Summer,2,399.36466666999996
42.17,28.925,24.35,194.4,49.8,5.0,65.0,34.0,2019,5,21,Summer,2,443.64500000000004
32.49,14.703,25.0,141.462,40.0,4.0,27.0,28.0,2019,6,22,Rainy,1,312.655
37.67,16.537,28.8,157.6,52.0,7.0,45.0,28.1,2019,6,23,Rainy,1,372.707
37.2,23.259,24.75,123.6,46.0,1.0,23.0,57.0,2019,6,24,Rainy,1,335.80899999999997
35.66,27.388,20.5,148.5,49.0,10.0,32.0,35.94,2019,6,25,Rainy,1,358.988
34.01,30.443,20.1,130.9,41.0,6.0,28.0,27.0,2019,6,26,Rainy,1,317.453
34.65,20.777,19.0,132.05,47.0,1.0,17.0,28.8,2019,7,27,Rainy,1,300.277
44.0,31.319,28.05,149.6,53.6,8.0,15.0,21.0,2019,7,28,Rainy,1,350.569
47.33,18.649,17.45,149.2,55.0,2.0,15.0,28.0,2019,7,29,Rainy,1,332.629
36.52,19.439,19.3,124.375,70.0,5.0,30.0,18.4,2019,7,30,Rainy,1,323.034
44.01,23.3,21.3,156.45,54.0,11.0,48.0,19.7,2019,8,31,Rainy,1,377.76
40.99,19.219,21.3,86.25,57.0,8.0,66.0,20.0,2019,8,32,Rainy,1,318.759
45.18,19.109,13.55,125.0,53.0,2.0,35.0,23.0,2019,8,33,Rainy,1,315.839
41.87,27.516,17.05,115.45,61.0,6.0,24.0,20.5,2019,8,34,Rainy,1,313.38599999999997
30.36,16.842,25.0,117.4,45.2,4.0,15.0,27.1,2019,9,35,Rainy,1,280.90200000000004
40.71,26.767,15.75,154.755,51.0,6.0,15.0,28.5,2019,9,36,Rainy,1,338.48199999999997
35.51,30.977,19.65,178.375,67.2,5.0,30.0,30.5,2019,9,37,Rainy,1,397.212
46.84,25.396,24.4,248.25,31.2,3.0,26.0,21.0,2019,9,38,Rainy,1,426.08599999999996
34.01,22.498,26.6,336.7,61.2,1.0,40.41666667,23.1,2019,9,39,Rainy,1,545.52466667
38.7,32.502,19.25,249.45,69.0,5.0,30.0,12.13,2019,10,40,Autumn,0,456.032
7.67,6.237,3.5,95.1,26.0,2.0,12.0,1.0,2019,10,41,Autumn,0,153.507
